day,tot,day,id
sabato 22 febbraio 2020,79,58,1
domenica 23 febbraio 2020,155,76,2
lunedì 24 febbraio 2020,231,76,3
martedì 25 febbraio 2020,322,91,4
mercoledì 26 febbraio 2020,470,148,5
giovedì 27 febbraio 2020,655,185,6
venerdì 28 febbraio 2020,888,233,7
sabato 29 febbraio 2020,1.128,239,8
domenica 1 marzo 2020,1.694,566,9
