"Country","Day","Confirmed"
"Hong Kong",-5.68405063291139,15
"Japan",-4.68405063291139,20
"Macau",-4.68405063291139,8
"Mainland China",-4.68405063291139,16607
"South Korea",-4.68405063291139,15
"Taiwan",-4.68405063291139,10
"Thailand",-4.68405063291139,19
"US",-4.68405063291139,8
"Australia",-7.68405063291139,12
"Malaysia",-7.68405063291139,8
"Philippines",-12.6840506329114,2
"Singapore",-5.68405063291139,18
"Vietnam",-5.68405063291139,6
"France",-6.68405063291139,6
"Nepal",-7.68405063291139,1
"Canada",-8.68405063291139,4
"Cambodia",-9.68405063291139,1
"Sri Lanka",-9.68405063291139,1
"Germany",-10.6840506329114,10
"Finland",-11.6840506329114,1
"United Arab Emirates",-11.6840506329114,5
"India",-12.6840506329114,2
"Italy",-13.6840506329114,2
"Russia",-13.6840506329114,2
"Sweden",-13.6840506329114,1
"UK",-13.6840506329114,2
"Spain",-14.6840506329114,1
"Hong Kong",-4.68405063291139,15
"Japan",-3.68405063291139,20
"Macau",-3.68405063291139,8
"Mainland China",-3.68405063291139,19693
"South Korea",-3.68405063291139,15
"Taiwan",-3.68405063291139,10
"Thailand",-3.68405063291139,19
"US",-3.68405063291139,11
"Australia",-6.68405063291139,12
"Malaysia",-6.68405063291139,8
"Philippines",-11.6840506329114,2
"Singapore",-4.68405063291139,18
"Vietnam",-4.68405063291139,8
"France",-5.68405063291139,6
"Nepal",-6.68405063291139,1
"Canada",-7.68405063291139,4
"Cambodia",-8.68405063291139,1
"Sri Lanka",-8.68405063291139,1
"Germany",-9.68405063291139,12
"Finland",-10.6840506329114,1
"United Arab Emirates",-10.6840506329114,5
"India",-11.6840506329114,3
"Italy",-12.6840506329114,2
"Russia",-12.6840506329114,2
"Sweden",-12.6840506329114,1
"UK",-12.6840506329114,2
"Spain",-13.6840506329114,1
"Hong Kong",-3.68405063291139,17
"Japan",-2.68405063291139,22
"Macau",-2.68405063291139,10
"Mainland China",-2.68405063291139,23680
"South Korea",-2.68405063291139,16
"Taiwan",-2.68405063291139,11
"Thailand",-2.68405063291139,25
"US",-2.68405063291139,11
"Australia",-5.68405063291139,13
"Malaysia",-5.68405063291139,10
"Philippines",-10.6840506329114,2
"Singapore",-3.68405063291139,24
"Vietnam",-3.68405063291139,8
"France",-4.68405063291139,6
"Nepal",-5.68405063291139,1
"Canada",-6.68405063291139,4
"Cambodia",-7.68405063291139,1
"Sri Lanka",-7.68405063291139,1
"Germany",-8.68405063291139,12
"Finland",-9.68405063291139,1
"United Arab Emirates",-9.68405063291139,5
"India",-10.6840506329114,3
"Italy",-11.6840506329114,2
"Russia",-11.6840506329114,2
"Sweden",-11.6840506329114,1
"UK",-11.6840506329114,2
"Spain",-12.6840506329114,1
"Belgium",-15.6840506329114,1
"Hong Kong",-2.68405063291139,21
"Japan",-1.68405063291139,22
"Macau",-1.68405063291139,10
"Mainland China",-1.68405063291139,27409
"South Korea",-1.68405063291139,19
"Taiwan",-1.68405063291139,11
"Thailand",-1.68405063291139,25
"US",-1.68405063291139,12
"Australia",-4.68405063291139,13
"Malaysia",-4.68405063291139,12
"Philippines",-9.68405063291139,2
"Singapore",-2.68405063291139,28
"Vietnam",-2.68405063291139,8
"France",-3.68405063291139,6
"Nepal",-4.68405063291139,1
"Canada",-5.68405063291139,5
"Cambodia",-6.68405063291139,1
"Sri Lanka",-6.68405063291139,1
"Germany",-7.68405063291139,12
"Finland",-8.68405063291139,1
"United Arab Emirates",-8.68405063291139,5
"India",-9.68405063291139,3
"Italy",-10.6840506329114,2
"Russia",-10.6840506329114,2
"Sweden",-10.6840506329114,1
"UK",-10.6840506329114,2
"Spain",-11.6840506329114,1
"Belgium",-14.6840506329114,1
"Hong Kong",-1.68405063291139,24
"Japan",-0.684050632911394,45
"Macau",-0.684050632911394,10
"Mainland China",-0.684050632911394,30553
"South Korea",-0.684050632911394,23
"Taiwan",-0.684050632911394,16
"Thailand",-0.684050632911394,25
"US",-0.684050632911394,12
"Australia",-3.68405063291139,14
"Malaysia",-3.68405063291139,12
"Philippines",-8.68405063291139,2
"Singapore",-1.68405063291139,28
"Vietnam",-1.68405063291139,10
"France",-2.68405063291139,6
"Nepal",-3.68405063291139,1
"Canada",-4.68405063291139,5
"Cambodia",-5.68405063291139,1
"Sri Lanka",-5.68405063291139,1
"Germany",-6.68405063291139,12
